date,open,high,low,close,Adj Close,volume,rsi
2002-01-09,116.68,117.779999,115.339996,115.57,77.511162,16610300,51.64
2002-01-10,115.690002,116.349998,115.300003,116.080002,77.853188,12823400,53.68
2002-01-11,116.209999,116.279999,114.699997,114.940002,77.088631,13708400,48.74
2002-01-14,114.650002,114.839996,113.959999,114.220001,76.605721,12301100,45.87
2002-01-15,114.550003,115.389999,113.900002,115.150002,77.229439,20219900,49.97
2002-01-16,114.300003,114.400002,112.690002,112.82,75.666763,17067000,41.49
2002-01-17,113.760002,114.239998,113.400002,113.669998,76.236839,17283400,45.14
2002-01-18,113.0,113.849998,112.669998,113.150002,75.888092,17028000,43.36
2002-01-22,113.75,113.93,112.019997,112.370003,75.364983,11689300,40.75
2002-01-23,112.629997,113.550003,112.019997,113.230003,75.941719,12438900,44.7
2002-01-24,113.639999,114.25,113.32,113.580002,76.176476,12142800,46.27
2002-01-25,113.120003,114.18,113.040001,113.550003,76.156403,12810700,46.14
2002-01-28,113.900002,114.190002,112.919998,113.860001,76.364281,10589200,47.66
2002-01-29,113.849998,114.129997,110.050003,110.279999,73.963219,27720800,35.28
2002-01-30,110.389999,113.389999,108.400002,111.870003,75.029602,34711800,42.43
2002-01-31,112.150002,113.300003,111.620003,113.18,75.908211,19909200,47.58
2002-02-01,113.089996,113.300003,112.169998,112.650002,75.552734,15838500,45.79
2002-02-04,112.230003,112.230003,109.440002,109.849998,73.674828,24243400,37.75
2002-02-05,109.400002,110.489998,108.529999,109.169998,73.218758,33614000,36.09
2002-02-06,109.650002,109.739998,108.059998,108.699997,72.903542,29486000,34.95
2002-02-07,108.720001,109.860001,108.0,108.019997,72.447487,23445400,33.31
2002-02-08,108.629997,110.75,108.300003,110.089996,73.835777,19277800,42.21
2002-02-11,110.050003,111.639999,109.82,111.440002,74.741219,18792400,47.17
2002-02-12,110.959999,111.709999,110.029999,111.089996,74.506477,13942500,46.06
2002-02-13,111.480003,112.540001,111.349998,112.269997,75.297852,16781100,50.28
2002-02-14,112.510002,112.970001,111.589996,112.059998,75.157028,20453800,49.54
2002-02-15,112.150002,112.239998,110.709999,110.889999,74.372345,18366800,45.51
2002-02-19,110.150002,110.290001,108.610001,108.760002,72.943748,15988100,39.24
2002-02-20,109.050003,110.589996,107.82,110.589996,74.17112,29242800,46.11
2002-02-21,109.93,110.629997,108.260002,108.300003,72.635231,26288600,40.01
2002-02-22,108.349998,109.940002,107.870003,109.639999,73.533981,26572900,44.63
2002-02-25,109.739998,111.809998,109.699997,111.449997,74.74791,17458700,50.19
2002-02-26,111.599998,112.040001,110.57,111.220001,74.59362,22346500,49.51
2002-02-27,111.959999,112.860001,110.650002,111.650002,74.88208,28597900,50.86
2002-02-28,111.830002,112.75,111.029999,111.150002,74.54673,23755400,49.22
2002-03-01,111.720001,113.849998,111.510002,113.739998,76.283791,26273600,56.96
2002-03-04,113.900002,115.989998,113.650002,115.75,77.631836,27184600,61.82
2002-03-05,115.330002,116.400002,114.970001,115.379997,77.38372,22718900,60.47
2002-03-06,115.099998,117.150002,115.07,116.75,78.302559,20143200,63.64
2002-03-07,117.360001,117.5,115.57,116.5,78.134895,19330800,62.66
2002-03-08,117.379997,117.900002,116.480003,116.989998,78.463547,19930100,63.84
2002-03-11,116.889999,117.900002,116.43,117.239998,78.63118,15621800,64.46
2002-03-12,116.099998,117.25,115.940002,117.169998,78.584221,17153600,64.13
2002-03-13,116.629997,116.75,115.639999,116.040001,77.826347,17175300,58.86
2002-03-14,116.040001,116.43,115.629997,115.879997,77.719055,11168100,58.14
2002-03-15,115.970001,116.949997,115.900002,116.650002,78.45961,21220100,60.66
2002-03-18,117.099998,117.559998,116.099998,116.669998,78.473045,17548900,60.72
2002-03-19,117.300003,117.739998,116.82,117.449997,78.997704,17912000,63.32
2002-03-20,116.5,116.580002,115.190002,115.239998,77.511246,17114500,52.7
2002-03-21,115.300003,115.900002,114.120003,115.290001,77.544846,25846800,52.9
2002-03-22,115.5,115.940002,114.699997,115.040001,77.376724,15235400,51.76
2002-03-25,115.089996,115.360001,113.300003,113.610001,76.414886,17499600,45.73
2002-03-26,113.519997,115.019997,113.470001,114.269997,76.85878,19947600,48.7
2002-03-27,114.029999,115.010002,113.760002,114.57,77.060608,19020300,50.04
2002-03-28,114.970001,115.769997,114.5,114.519997,77.02697,17532900,49.81
2002-04-01,114.230003,115.099998,113.5,114.57,77.060608,17711000,50.06
